age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
59,retired,married,basic.9y,unknown,no,no,cellular,jul,fri,1330,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
49,unemployed,single,professional.course,unknown,no,no,telephone,may,fri,339,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
26,unknown,single,high.school,unknown,yes,yes,telephone,jun,wed,524,15,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
30,admin.,single,high.school,no,no,yes,cellular,jul,mon,101,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
51,management,married,high.school,unknown,no,no,cellular,aug,wed,158,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
45,admin.,married,basic.9y,no,yes,no,telephone,jun,mon,60,2,999,0,nonexistent,-2.9,92.963,-40.8,1.215,5076.2,no
30,technician,single,high.school,no,yes,no,cellular,may,wed,9,12,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
31,admin.,married,university.degree,no,no,no,cellular,aug,mon,119,9,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
41,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,348,1,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
38,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
47,housemaid,married,basic.6y,unknown,no,yes,cellular,jul,thu,148,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,no
69,entrepreneur,married,high.school,no,no,no,cellular,jun,wed,140,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
26,technician,single,university.degree,no,no,no,cellular,oct,wed,649,1,999,0,nonexistent,-1.1,94.601,-49.5,0.9590000000000001,4963.6,yes
41,self-employed,divorced,professional.course,no,no,no,cellular,jul,fri,911,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes
36,blue-collar,single,high.school,no,yes,no,telephone,jun,wed,835,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,yes
31,services,single,high.school,no,no,no,telephone,jun,wed,49,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
33,admin.,single,university.degree,no,yes,no,cellular,aug,thu,289,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
33,blue-collar,married,basic.9y,no,yes,yes,cellular,nov,mon,94,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
30,blue-collar,married,basic.6y,no,no,no,telephone,jun,wed,201,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
30,management,married,university.degree,no,no,no,cellular,nov,wed,72,5,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
50,entrepreneur,married,basic.9y,no,no,no,telephone,nov,tue,2,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
38,blue-collar,married,unknown,unknown,no,no,cellular,jul,mon,340,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
25,student,single,high.school,no,yes,no,cellular,oct,fri,234,1,3,1,success,-1.1,94.601,-49.5,1.0290000000000001,4963.6,yes
30,services,married,university.degree,no,yes,no,telephone,may,wed,51,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
45,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,fri,905,1,999,1,failure,-1.8,93.075,-47.1,1.479,5099.1,no
55,retired,married,high.school,no,yes,no,telephone,may,tue,591,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
45,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,297,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.959,5228.1,no
39,admin.,married,high.school,no,yes,no,cellular,jul,mon,201,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
44,technician,married,professional.course,no,yes,no,cellular,aug,wed,27,9,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
34,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,59,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34,technician,married,professional.course,no,yes,no,cellular,may,mon,934,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,yes
63,retired,married,high.school,no,yes,no,cellular,oct,wed,323,1,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,no
36,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,296,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
24,admin.,married,basic.9y,no,yes,no,cellular,may,wed,302,1,10,1,success,-1.8,92.89299999999999,-46.2,1.281,5099.1,yes
24,admin.,single,high.school,no,yes,no,telephone,jul,mon,722,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
37,blue-collar,single,basic.6y,no,no,no,cellular,jul,tue,338,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
52,technician,divorced,university.degree,no,no,no,cellular,nov,mon,215,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
31,admin.,single,high.school,no,yes,no,cellular,nov,fri,63,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
41,admin.,divorced,university.degree,no,yes,no,cellular,mar,fri,498,2,6,3,success,-1.8,93.369,-34.8,0.653,5008.7,yes
60,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,mon,89,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
35,admin.,single,university.degree,no,yes,no,cellular,nov,fri,530,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,yes
50,admin.,single,university.degree,no,yes,no,telephone,may,tue,169,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
